Index,Judul,R1,R2,R3,R4,R5
0,"Jelang KTT G20, Menko Luhut Resmikan PLTS Terapung Milik PLN di Bali",1,2,3,4,5
1,PLN Berhasil Reduksi 32 Juta Metrik Ton Emisi Karbon di Tahun 2022,0,2,3,4,5
2,Instalasi PLN Dua Pekon di Suoh Masuk Roadmap PLN 2023,0,1,3,4,5
3,"Jelang KTT G20, PLN Pamerkan Dua PLTS dan 33 PV Rooftop di Bali",0,1,2,4,5
4,"Jaga Pasokan Listrik KTT G20, PLN Operasikan PLTG Relokasi Dari Grati ke Bali",0,1,2,3,5
6,"Mirota Kampus Buka Lowongan Kerja Bagian Operator Moulding, Simak Persyaratannya",7,8,9,10,11
7,"BRI Kembali Buka Program Management Trainee, BRILiaN Future Leader Program",6,8,9,10,11
8,"PT Petrolindo Megah Perkasa Buka Lowongan Kerja Bagi Lulusan D3, Simak Persyaratannya",6,7,9,10,11
9,"PT KAI Properti Buka Lowongan Kerja Bagian IT Supervisor, Berikut Ini Persyaratannya",6,7,8,10,11
10,"Pertumbuhan Angkatan Kerja dan Lowongan Kerja Tak Berimbang, Disnakertrans Mesuji Lirik Alumni SMA dan SMK",6,7,8,9,11
12,"Muncul Dukungan Jokowi Jadi Ketum PDIP 2024, PPD Ikut Beri Komentar",13,14,15,17,16
13,"Bepesan Agar Golkar Jangan Sembrono Pilih Capres, Jokowi: Silakan Terjemahkan Sendiri...",12,14,15,16,17
14,Pesan Jokowi Saat Hadiri Acara Puncak HUT ke-58 Partai Golkar: Pilih Capres Jangan Sembrono...,12,13,15,16,17
15,"Dari Kapolri, Kapolda, Kapolresta dan Kapolres Dipanggil Presiden Jokowi ke Istana Negara Siang Ini",12,13,14,16,17
16,"Panggil Pejabat Polri Tanpa Ajudan, Begini Penjelasan Jokowi ke Awak Media",15,12,13,14,17
18,Bareskrim Polri Akan Panggil Petinggi Afi Farma Soal Kasus Gagal Ginjal Akut,19,21,20,22,23
19,"Begini Modus Perusahaan Pemasok Bahan Baku Sirup yang Sebabkan Kasus Gagal Ginjal Akut, Aksinya Tak Terpuji..",21,20,18,22,23
20,"Kasus Gagal Ginjal Akut, Ada Dua Perusahaan Farmasi Dilaporkan ke Bareskrim Polri",19,21,18,22,23
21,Pemasok Bahan Pelarut Sirup yang Diduga Sebabkan Gagal Ginjal Akut Akan Diperiksa Polri,19,20,18,22,23
22,"Siap-siap, Bareskrim Polri Segera Umumkan Tersangka Kasus Gagal Ginjal Akut",19,21,20,18,23
24,5 Hotel Terdekat Dari Pusat Kota Bandar Lampung Dengan Rating Memuaskan,25,27,28,26,29
25,"Catat, Ini 6 Hotel di Lampung yang Dekat Dengan Pantai",26,24,27,28,29
26,"5 Hotel di Lampung dengan Pelayanan Terbaik, Sangat Memuaskan dan Wajib Kalian Coba",25,24,27,28,29
27,5 Hotel di Lampung dengan Pemandangan atau View Terbaik,25,26,24,28,29
28,"7 Hotel Murah di Lampung, Lengkap Dengan Fasilitas Menarik yang Bikin Nyaman",25,26,27,24,29
30,UBL Riset Bersama Diskominfotiksan Pemkab Pesawaran,31,32,33,34,35
31,UBL Gelar Yudisium dan Wisuda Luluskan 631 Mahasiswa,30,32,33,34,35
32,"Melalui Matching Fund, UBL Riset Bersama PT Angkasa Wiratama",30,31,33,34,35
33,"Melalui Program Matching Fund, UBL Riset Bersama GMF Aero Asia ",30,31,32,34,35
34,UBL Riset Bersama PRTRRB - BRIN Rancang Bangun Mesin Pengemasan Otomatis Obat Radiofarmaka,30,31,32,33,35
36,Hyundai STARGAZER Resmi Hadir di Lampung,37,38,39,40,41
37,"Test Drive Hyundai Stargazer, Intip Kenyamanan dan Fitur Canggihnya!",36,38,39,40,41
38,Hyundai Beri Kesempatan Dapat Tiket Piala Dunia 2022,37,36,39,40,41
39,"Intip Yuk, 43 Unit Hyundai Ramaikan GIIAS 2022",37,36,38,40,41
40,"Jajal Mobil Listrik Hyundai, Bupati Tanggamus : Solusi Mengurangi konsumsi BBM",37,36,39,38,41
42,"Pasca Kerusuhan Kanjuruhan, Polri Susun Aturan Pengamanan Sepakbola",43,44,45,46,47
43,"Ingin Keadilan, Tersangka Insiden Kanjuruhan Bantah Kunci Pintu Stadion dan Desak Polisi Buka CCTV",42,44,45,46,47
44,Lima Tersangka Tragedi Stadion Kanjuruhan Kembali Diperiksa Hari Ini di Polda Jatim,42,43,45,47,46
45,"Besok PSSI dan PT LIB Dipanggil TGIPF Tragedi Kanjuruhan, Berikut Ini Bocoran yang Bakal Diklarifikasi",44,46,42,43,47
46,"6 Orang Ditetapkan Tersangka Tragedi Kanjuruhan, Berikut Peran Masing-masing Mereka",44,42,43,45,47
48,"Pemerintah Rencanakan Penghentian Siaran TV Analog Per Hari Ini, Masyarakat Diharap Bersiap",49,50,51,52,53
49,"Modal Uang Rp 50 Ribu, Ternyata Sudah Bisa Nonton Saluran TV Digital Bareng Keluarga, Simak Caranya",48,50,51,52,53
50,"Ini Jadwal Penghentian Siaran TV Analog ASO Di Seluruh Indonesia, dan Cara Penggunaan TV Digital Pakai STB",48,49,51,53,52
51,10 Merk Set Top Box Terbaik Untuk Tv Digital Resmi Bersertifikat Kominfo,52,49,48,53,50
52,WhatsApp ke Nomor Ini Biar Kamu Bisa Dapat Set Top Box Gratis,49,48,51,50,53
54,Oknum Jaksa di Lampung Utara Tersangka Kepemilikan 200 Butir Pil Alfarozolam,55,56,57,58,59
55,"Polisi Gagalkan Upaya Penyeludupan Psikotropika di Rutan, Begini Modusnya",56,57,54,58,59
56,"Soal 4 Pelaku Penyalahgunaan Narkoba yang Dibebaskan Polresta, BNNP Lampung Belum Terima Surat Asesmen",55,57,58,59,54
57,"Musnahkan Barang Bukti Narkoba Ratusan Kilogram dan Ribuan Pil Terlarang, Begini Atensi Polda Lampung",55,56,58,59,54
58,"Heboh Video Penangkapan Pengedar Sabu, Polisi Dihalangi, Dilempar Batu, Sampai Keluarkan Tembakan Peringatan",55,56,57,59,54
