Index,Aktual,Cossine Rekomend,Jaccard Recommned,Error_Cosine,Error_Jaccard,MAE_Cos,MAE_Jac,MAE_Cos2,MAE_Jac2
0,"[1, 2, 3, 4, 5]","[5, 3, 4, 1, 2]",[3 5 4 1 7],[],[7],0,1,0,1
1,"[0, 2, 3, 4, 5]","[5, 3, 0, 4, 2]",[ 5  4  3  0 39],[],[39],0,1,0,1
2,"[0, 1, 3, 4, 5]","[0, 3, 5, 4, 1]",[48 52  0  3 40],[],"[40, 48, 52]",0,3,0,9
3,"[0, 1, 2, 4, 5]","[0, 5, 4, 1, 2]",[5 4 0 1 2],[],[],0,0,0,0
4,"[0, 1, 2, 3, 5]","[0, 3, 5, 1, 2]",[ 5  3  0  1 46],[],[46],0,1,0,1
5,"[0, 4, 1, 2, 3]","[0, 3, 1, 4, 2]",[3 4 1 0 7],[],[7],0,1,0,1
6,"[7, 8, 9, 10, 11]","[9, 8, 11, 10, 7]",[ 9  8  7 11 39],[],[39],0,1,0,1
7,"[6, 8, 9, 10, 11]","[9, 11, 6, 8, 10]",[ 6  9  8 11  5],[],[5],0,1,0,1
8,"[6, 7, 9, 10, 11]","[9, 6, 11, 10, 7]",[ 6  9  7 33 39],[],"[33, 39]",0,2,0,4
9,"[6, 7, 8, 10, 11]","[6, 8, 11, 10, 7]",[ 6  8  7 11 39],[],[39],0,1,0,1
10,"[6, 7, 8, 9, 11]","[9, 6, 8, 11, 7]",[11 34  6 30  7],[],"[34, 30]",0,2,0,4
11,"[6, 7, 8, 9, 10]","[9, 58, 6, 8, 7]",[ 6  7  9 10 56],[58],[56],1,1,1,1
12,"[13, 14, 15, 17, 16]","[17, 14, 13, 16, 15]",[17 14 13 15 16],[],[],0,0,0,0
13,"[12, 14, 15, 16, 17]","[14, 12, 16, 15, 17]",[14 12 15 17 16],[],[],0,0,0,0
14,"[12, 13, 15, 16, 17]","[13, 12, 16, 15, 17]",[13 12 15 17 16],[],[],0,0,0,0
15,"[12, 13, 14, 16, 17]","[16, 13, 14, 17, 12]",[16 12 14 13 43],[],[43],0,1,0,1
16,"[15, 12, 13, 14, 17]","[15, 13, 14, 17, 12]",[15 12 47 17 14],[],[47],0,1,0,1
17,"[12, 13, 14, 15, 16]","[12, 16, 13, 14, 15]",[12 14 16 13 15],[],[],0,0,0,0
18,"[19, 21, 20, 22, 23]","[21, 19, 22, 20, 23]",[19 21 22 20 23],[],[],0,0,0,0
19,"[21, 20, 18, 22, 23]","[21, 18, 23, 20, 22]",[21 18 22 23 20],[],[],0,0,0,0
20,"[19, 21, 18, 22, 23]","[21, 23, 22, 18, 19]",[21 22 18 23 19],[],[],0,0,0,0
21,"[19, 20, 18, 22, 23]","[20, 19, 18, 23, 22]",[20 19 18 22 23],[],[],0,0,0,0
22,"[19, 21, 20, 18, 23]","[18, 20, 21, 23, 19]",[20 21 19 23 18],[],[],0,0,0,0
23,"[18, 19, 20, 21, 22]","[21, 20, 18, 19, 22]",[22 21 19 18 20],[],[],0,0,0,0
24,"[25, 27, 28, 26, 29]","[26, 25, 27, 28, 29]",[26 25 27 29 28],[],[],0,0,0,0
25,"[26, 24, 27, 28, 29]","[24, 27, 26, 28, 29]",[26 24 27 28 29],[],[],0,0,0,0
26,"[25, 24, 27, 28, 29]","[24, 27, 25, 28, 29]",[27 24 25 28 29],[],[],0,0,0,0
27,"[25, 26, 24, 28, 29]","[25, 24, 26, 29, 28]",[26 29 24 25 28],[],[],0,0,0,0
28,"[25, 26, 27, 24, 29]","[29, 24, 26, 25, 27]",[29 26 25 24 27],[],[],0,0,0,0
29,"[24, 25, 26, 27, 28]","[28, 24, 26, 27, 25]",[28 27 24 26 25],[],[],0,0,0,0
30,"[31, 32, 33, 34, 35]","[34, 32, 31, 35, 33]",[34 32 33 48 35],[],[48],0,1,0,1
31,"[30, 32, 33, 34, 35]","[35, 32, 30, 34, 33]",[35 32 48 34 30],[],[48],0,1,0,1
32,"[30, 31, 33, 34, 35]","[34, 33, 30, 31, 35]",[34 33 30 31  6],[],[6],0,1,0,1
33,"[30, 31, 32, 34, 35]","[34, 32, 30, 31, 35]",[32 34 30  8 39],[],"[8, 39]",0,2,0,4
34,"[30, 31, 32, 33, 35]","[32, 33, 30, 35, 31]",[32 33 30 35 31],[],[],0,0,0,0
35,"[30, 31, 32, 33, 34]","[31, 26, 34, 30, 32]",[31 26 34 30 29],[26],"[26, 29]",1,2,1,4
36,"[37, 38, 39, 40, 41]","[39, 37, 38, 40, 41]",[39 37 41 38 40],[],[],0,0,0,0
37,"[36, 38, 39, 40, 41]","[36, 38, 39, 40, 28]",[38 36 39 41 40],[28],[],1,0,1,0
38,"[37, 36, 39, 40, 41]","[36, 37, 39, 40, 29]",[37 36 40 39 41],[29],[],1,0,1,0
39,"[37, 36, 38, 40, 41]","[36, 38, 37, 40, 41]",[36 37 33  6  8],[],"[8, 33, 6]",0,3,0,9
40,"[37, 36, 39, 38, 41]","[36, 38, 39, 37, 4]",[37 38 36  2 59],[4],"[2, 59]",1,2,1,4
41,"[36, 37, 38, 39, 40]","[36, 26, 24, 39, 27]",[36 37 38 33 32],"[24, 26, 27]","[32, 33]",3,2,9,4
42,"[43, 44, 45, 46, 47]","[43, 47, 44, 46, 45]",[43 47 44 45 46],[],[],0,0,0,0
43,"[42, 44, 45, 46, 47]","[46, 44, 47, 42, 45]",[42 46 47 44 45],[],[],0,0,0,0
44,"[42, 43, 45, 47, 46]","[46, 43, 47, 54, 22]",[47 46 43 42 45],"[54, 22]",[],2,0,4,0
45,"[44, 46, 42, 43, 47]","[47, 44, 43, 42, 46]",[42 44 43 47 23],[],[23],0,1,0,1
46,"[44, 42, 43, 45, 47]","[44, 43, 47, 54, 42]",[43 44 42 47 45],[54],[],1,0,1,0
47,"[42, 43, 44, 45, 46]","[43, 44, 46, 42, 45]",[44 43 42 46 45],[],[],0,0,0,0
48,"[49, 50, 51, 52, 53]","[50, 53, 49, 52, 51]",[52 50 53 49 30],[],[30],0,1,0,1
49,"[48, 50, 51, 52, 53]","[50, 48, 51, 53, 52]",[48 50 52 53 51],[],[],0,0,0,0
50,"[48, 49, 51, 53, 52]","[48, 53, 52, 49, 51]",[53 52 48 49 51],[],[],0,0,0,0
51,"[52, 49, 48, 53, 50]","[52, 49, 50, 53, 48]",[50 49 53 52 48],[],[],0,0,0,0
52,"[49, 48, 51, 50, 53]","[53, 50, 51, 48, 49]",[50 53 48 49 51],[],[],0,0,0,0
53,"[48, 49, 50, 51, 52]","[50, 48, 52, 51, 49]",[50 52 48 49 51],[],[],0,0,0,0
54,"[55, 56, 57, 58, 59]","[55, 44, 57, 59, 46]",[59 55 57 56 44],"[44, 46]",[44],2,1,4,1
55,"[56, 57, 54, 58, 59]","[58, 59, 54, 57, 56]",[59 58 54 57 56],[],[],0,0,0,0
56,"[55, 57, 58, 59, 54]","[59, 58, 55, 57, 54]",[59 58 57 54 55],[],[],0,0,0,0
57,"[55, 56, 58, 59, 54]","[54, 55, 59, 29, 28]",[56 54 59 55 29],"[28, 29]",[29],2,1,4,1
58,"[55, 56, 57, 59, 54]","[55, 59, 11, 56, 54]",[55 59 56 11 47],[11],"[11, 47]",1,2,1,4
59,"[54, 55, 56, 57, 58]","[58, 55, 56, 57, 54]",[55 58 56 54 57],[],[],0,0,0,0
