Judul,Aktual,Cossine Rekomend,Jaccard Recommned
"Jelang KTT G20, Menko Luhut Resmikan PLTS Terapung Milik PLN di Bali","[1, 2, 3, 4, 5]","[3, 5, 4, 1, 2]",[3 5 4 7 1]
PLN Berhasil Reduksi 32 Juta Metrik Ton Emisi Karbon di Tahun 2022,"[0, 2, 3, 4, 5]","[5, 3, 0, 4, 2]",[ 5  4  3  0 50]
Instalasi PLN Dua Pekon di Suoh Masuk Roadmap PLN 2023,"[0, 1, 3, 4, 5]","[0, 3, 5, 1, 4]",[52 50 58 48 40]
"Jelang KTT G20, PLN Pamerkan Dua PLTS dan 33 PV Rooftop di Bali","[0, 1, 2, 4, 5]","[0, 5, 4, 1, 2]",[ 4  5  0  1 19]
"Jaga Pasokan Listrik KTT G20, PLN Operasikan PLTG Relokasi Dari Grati ke Bali","[0, 1, 2, 3, 5]","[3, 0, 5, 1, 2]",[ 3  5  0  1 44]
"Wujudkan Transisi Energi, PLN Siap Kerjakan Proyek PLTS Terapung Singkarak dan Saguling","[0, 4, 1, 2, 3]","[0, 3, 1, 4, 2]",[3 4 0 1 7]
"Mirota Kampus Buka Lowongan Kerja Bagian Operator Moulding, Simak Persyaratannya","[7, 8, 9, 10, 11]","[9, 8, 11, 10, 7]",[ 9  8  7 11 32]
"BRI Kembali Buka Program Management Trainee, BRILiaN Future Leader Program","[6, 8, 9, 10, 11]","[9, 11, 6, 8, 10]",[ 9  6 11 39  5]
"PT Petrolindo Megah Perkasa Buka Lowongan Kerja Bagi Lulusan D3, Simak Persyaratannya","[6, 7, 9, 10, 11]","[9, 6, 11, 10, 7]",[ 6  9 33  7 20]
"PT KAI Properti Buka Lowongan Kerja Bagian IT Supervisor, Berikut Ini Persyaratannya","[6, 7, 8, 10, 11]","[6, 8, 11, 7, 10]",[ 6  8  7 11 30]
"Pertumbuhan Angkatan Kerja dan Lowongan Kerja Tak Berimbang, Disnakertrans Mesuji Lirik Alumni SMA dan SMK","[6, 7, 8, 9, 11]","[9, 6, 8, 11, 7]",[11 30 34 39 47]
Bawaslu Tulang Bawang Buka Rekrutmen Panwascam,"[6, 7, 8, 9, 10]","[9, 6, 58, 8, 7]",[12  6  7 13 14]
"Muncul Dukungan Jokowi Jadi Ketum PDIP 2024, PPD Ikut Beri Komentar","[13, 14, 15, 17, 16]","[17, 14, 13, 16, 15]",[13 14 17 16 11]
"Bepesan Agar Golkar Jangan Sembrono Pilih Capres, Jokowi: Silakan Terjemahkan Sendiri...","[12, 14, 15, 16, 17]","[14, 12, 16, 15, 17]",[14 12 11 16 15]
Pesan Jokowi Saat Hadiri Acara Puncak HUT ke-58 Partai Golkar: Pilih Capres Jangan Sembrono...,"[12, 13, 15, 16, 17]","[13, 12, 16, 15, 17]",[13 12 11 15 16]
"Dari Kapolri, Kapolda, Kapolresta dan Kapolres Dipanggil Presiden Jokowi ke Istana Negara Siang Ini","[12, 13, 14, 16, 17]","[16, 13, 14, 17, 12]",[16 14 12 13 43]
"Panggil Pejabat Polri Tanpa Ajudan, Begini Penjelasan Jokowi ke Awak Media","[15, 12, 13, 14, 17]","[15, 13, 14, 17, 12]",[15 12 45 23 47]
"Isu Hubungan Renggang Dengan Jokowi, Megawati Hanya Tersenyum","[12, 13, 14, 15, 16]","[12, 16, 14, 13, 15]",[12 16 43 14 13]
Bareskrim Polri Akan Panggil Petinggi Afi Farma Soal Kasus Gagal Ginjal Akut,"[19, 21, 20, 22, 23]","[21, 22, 19, 20, 23]",[21 19 22 20 23]
"Begini Modus Perusahaan Pemasok Bahan Baku Sirup yang Sebabkan Kasus Gagal Ginjal Akut, Aksinya Tak Terpuji..","[21, 20, 18, 22, 23]","[21, 18, 23, 20, 22]",[21 22 18 23 20]
"Kasus Gagal Ginjal Akut, Ada Dua Perusahaan Farmasi Dilaporkan ke Bareskrim Polri","[19, 21, 18, 22, 23]","[21, 22, 18, 23, 19]",[21 22 18 23 19]
Pemasok Bahan Pelarut Sirup yang Diduga Sebabkan Gagal Ginjal Akut Akan Diperiksa Polri,"[19, 20, 18, 22, 23]","[20, 19, 18, 23, 22]",[20 19 18 23 22]
"Siap-siap, Bareskrim Polri Segera Umumkan Tersangka Kasus Gagal Ginjal Akut","[19, 21, 20, 18, 23]","[18, 20, 21, 23, 19]",[20 19 21 18 23]
"Labfor Polri Turun Tangan Soal Dugaan Gagal Ginjal Akut Anak, Beberapa Pasien Diperiksa","[18, 19, 20, 21, 22]","[21, 20, 18, 19, 22]",[21 22 20 18 19]
5 Hotel Terdekat Dari Pusat Kota Bandar Lampung Dengan Rating Memuaskan,"[25, 27, 28, 26, 29]","[25, 26, 27, 28, 29]",[25 26 27 28 29]
"Catat, Ini 6 Hotel di Lampung yang Dekat Dengan Pantai","[26, 24, 27, 28, 29]","[24, 27, 26, 28, 29]",[24 26 27 28 29]
"5 Hotel di Lampung dengan Pelayanan Terbaik, Sangat Memuaskan dan Wajib Kalian Coba","[25, 24, 27, 28, 29]","[24, 27, 25, 28, 29]",[27 25 24 29 28]
5 Hotel di Lampung dengan Pemandangan atau View Terbaik,"[25, 26, 24, 28, 29]","[25, 26, 24, 29, 28]",[26 25 29 24 28]
"7 Hotel Murah di Lampung, Lengkap Dengan Fasilitas Menarik yang Bikin Nyaman","[25, 26, 27, 24, 29]","[29, 24, 26, 25, 27]",[29 24 25 27 26]
5 Hotel Berbintang di Bandar Lampung Tawarkan Promo Menarik Special Weekend,"[24, 25, 26, 27, 28]","[28, 24, 26, 27, 25]",[27 28 24 26 25]
UBL Riset Bersama Diskominfotiksan Pemkab Pesawaran,"[31, 32, 33, 34, 35]","[34, 32, 31, 35, 33]",[32 34 33 48 50]
UBL Gelar Yudisium dan Wisuda Luluskan 631 Mahasiswa,"[30, 32, 33, 34, 35]","[35, 32, 30, 34, 33]",[35 32 34 48 30]
"Melalui Matching Fund, UBL Riset Bersama PT Angkasa Wiratama","[30, 31, 33, 34, 35]","[34, 33, 30, 31, 35]",[34 33 30 31  6]
"Melalui Program Matching Fund, UBL Riset Bersama GMF Aero Asia ","[30, 31, 32, 34, 35]","[34, 32, 30, 31, 35]",[34 32 30 24  8]
UBL Riset Bersama PRTRRB - BRIN Rancang Bangun Mesin Pengemasan Otomatis Obat Radiofarmaka,"[30, 31, 32, 33, 35]","[32, 33, 30, 35, 31]",[32 33 30 35 31]
UBL Kembali Raih Penghargaan Universitas Terbaik se-Sumbagsel,"[30, 31, 32, 33, 34]","[31, 26, 34, 30, 32]",[31 34 30 32 33]
Hyundai STARGAZER Resmi Hadir di Lampung,"[37, 38, 39, 40, 41]","[39, 37, 38, 40, 0]",[39 41 37 38 40]
"Test Drive Hyundai Stargazer, Intip Kenyamanan dan Fitur Canggihnya!","[36, 38, 39, 40, 41]","[36, 38, 39, 40, 28]",[38 36 39 41 29]
Hyundai Beri Kesempatan Dapat Tiket Piala Dunia 2022,"[37, 36, 39, 40, 41]","[36, 37, 39, 40, 29]",[37 36 40 39 30]
"Intip Yuk, 43 Unit Hyundai Ramaikan GIIAS 2022","[37, 36, 38, 40, 41]","[36, 38, 37, 40, 7]",[36 37  7 32 41]
"Jajal Mobil Listrik Hyundai, Bupati Tanggamus : Solusi Mengurangi konsumsi BBM","[37, 36, 39, 38, 41]","[36, 38, 37, 39, 4]",[38 37 54 18  5]
"Suzuki All New Ertiga Hybrid Resmi Mengaspal di Lampung, Simak Keunggulannya","[36, 37, 38, 39, 40]","[36, 26, 27, 39, 24]",[36 37 39 33 32]
"Pasca Kerusuhan Kanjuruhan, Polri Susun Aturan Pengamanan Sepakbola","[43, 44, 45, 46, 47]","[43, 47, 46, 44, 45]",[43 47 44 45 46]
"Ingin Keadilan, Tersangka Insiden Kanjuruhan Bantah Kunci Pintu Stadion dan Desak Polisi Buka CCTV","[42, 44, 45, 46, 47]","[46, 44, 47, 42, 45]",[42 46 47 44 45]
Lima Tersangka Tragedi Stadion Kanjuruhan Kembali Diperiksa Hari Ini di Polda Jatim,"[42, 43, 45, 47, 46]","[46, 43, 47, 54, 45]",[47 43 46 42 45]
"Besok PSSI dan PT LIB Dipanggil TGIPF Tragedi Kanjuruhan, Berikut Ini Bocoran yang Bakal Diklarifikasi","[44, 46, 42, 43, 47]","[44, 47, 43, 42, 46]",[42 44 23 43 16]
